"","Episode","word","sentiment"
"116",NA,"advantageous","positive"
"117",NA,"advantageously","positive"
"118",NA,"advantages","positive"
"119",NA,"adventuresome","positive"
"120",NA,"adventurous","positive"
"121",NA,"adversarial","negative"
"122",NA,"adversary","negative"
"123",NA,"adverse","negative"
"124",NA,"adversity","negative"
"125",NA,"advocate","positive"
"126",NA,"advocated","positive"
"127",NA,"advocates","positive"
"128",NA,"affability","positive"
"129",NA,"affable","positive"
"130",NA,"affably","positive"
"131",NA,"affectation","positive"
"132",NA,"affection","positive"
"133",NA,"affectionate","positive"
"134",NA,"affinity","positive"
"135",NA,"affirm","positive"
"136",NA,"affirmation","positive"
"137",NA,"affirmative","positive"
"138",NA,"afflict","negative"
"139",NA,"affliction","negative"
"140",NA,"afflictive","negative"
"141",NA,"affluence","positive"
"142",NA,"affluent","positive"
"143",NA,"afford","positive"
"144",NA,"affordable","positive"
"145",NA,"affordably","positive"
"146",NA,"affront","negative"
"147",NA,"afordable","positive"
"148",NA,"afraid","negative"
"149",NA,"aggravate","negative"
"150",NA,"aggravating","negative"
"151",NA,"aggravation","negative"
"152",NA,"aggression","negative"
"153",NA,"aggressive","negative"
"154",NA,"aggressiveness","negative"
"155",NA,"aggressor","negative"
"156",NA,"aggrieve","negative"
"157",NA,"aggrieved","negative"
"158",NA,"aggrivation","negative"
"159",NA,"aghast","negative"
"160",NA,"agile","positive"
"161",NA,"agilely","positive"
"162",NA,"agility","positive"
"163",NA,"agonies","negative"
"164",NA,"agonize","negative"
"165",NA,"agonizing","negative"
"166",NA,"agonizingly","negative"
"167",NA,"agony","negative"
"168",NA,"agreeable","positive"
"169",NA,"agreeableness","positive"
"170",NA,"agreeably","positive"
"171",NA,"aground","negative"
"172",NA,"ail","negative"
"173",NA,"ailing","negative"
"174",NA,"ailment","negative"
"175",NA,"aimless","negative"
"176",NA,"alarm","negative"
"177",NA,"alarmed","negative"
"178",NA,"alarming","negative"
"179",NA,"alarmingly","negative"
"180",NA,"alienate","negative"
"181",NA,"alienated","negative"
"182",NA,"alienation","negative"
"183",NA,"all-around","positive"
"184",NA,"allegation","negative"
"185",NA,"allegations","negative"
"186",NA,"allege","negative"
"187",NA,"allergic","negative"
"188",NA,"allergies","negative"
"189",NA,"allergy","negative"
"190",NA,"alluring","positive"
"191",NA,"alluringly","positive"
"192",NA,"aloof","negative"
"193",NA,"altercation","negative"
"194",NA,"altruistic","positive"
"195",NA,"altruistically","positive"
"196",NA,"amaze","positive"
"197",NA,"amazed","positive"
"198",NA,"amazement","positive"
"199",NA,"amazes","positive"
"200",NA,"amazing","positive"
"201",NA,"amazingly","positive"
"202",NA,"ambiguity","negative"
"203",NA,"ambiguous","negative"
"204",NA,"ambitious","positive"
"205",NA,"ambitiously","positive"
"206",NA,"ambivalence","negative"
"207",NA,"ambivalent","negative"
"208",NA,"ambush","negative"
"209",NA,"ameliorate","positive"
"210",NA,"amenable","positive"
"211",NA,"amenity","positive"
"212",NA,"amiability","positive"
"213",NA,"amiabily","positive"
"214",NA,"amiable","positive"
"215",NA,"amicability","positive"
"216",NA,"amicable","positive"
"217",NA,"amicably","positive"
"218",NA,"amiss","negative"
"219",NA,"amity","positive"
"220",NA,"ample","positive"
"221",NA,"amply","positive"
"222",NA,"amputate","negative"
"223",NA,"amuse","positive"
"224",NA,"amusing","positive"
"225",NA,"amusingly","positive"
"226",NA,"anarchism","negative"
"227",NA,"anarchist","negative"
"228",NA,"anarchistic","negative"
"229",NA,"anarchy","negative"
"230",NA,"anemic","negative"
"231",NA,"angel","positive"
"232",NA,"angelic","positive"
"233",NA,"anger","negative"
"234",NA,"angrily","negative"
"235",NA,"angriness","negative"
"236",NA,"angry","negative"
"237",NA,"anguish","negative"
"238",NA,"animosity","negative"
"239",NA,"annihilate","negative"
"240",NA,"annihilation","negative"
"241",NA,"annoy","negative"
"242",NA,"annoyance","negative"
"243",NA,"annoyances","negative"
"244",NA,"annoyed","negative"
"245",NA,"annoying","negative"
"246",NA,"annoyingly","negative"
"247",NA,"annoys","negative"
"248",NA,"anomalous","negative"
"249",NA,"anomaly","negative"
"250",NA,"antagonism","negative"
"251",NA,"antagonist","negative"
"252",NA,"antagonistic","negative"
"253",NA,"antagonize","negative"
"254",NA,"anti-","negative"
"255",NA,"anti-american","negative"
"256",NA,"anti-israeli","negative"
"257",NA,"anti-occupation","negative"
"258",NA,"anti-proliferation","negative"
"259",NA,"anti-semites","negative"
"260",NA,"anti-social","negative"
"261",NA,"anti-us","negative"
"262",NA,"anti-white","negative"
"263",NA,"antipathy","negative"
"264",NA,"antiquated","negative"
"265",NA,"antithetical","negative"
"266",NA,"anxieties","negative"
"267",NA,"anxiety","negative"
"268",NA,"anxious","negative"
"269",NA,"anxiously","negative"
"270",NA,"anxiousness","negative"
"271",NA,"apathetic","negative"
"272",NA,"apathetically","negative"
"273",NA,"apathy","negative"
"274",NA,"apocalypse","negative"
"275",NA,"apocalyptic","negative"
"276",NA,"apologist","negative"
"277",NA,"apologists","negative"
"278",NA,"apotheosis","positive"
"279",NA,"appal","negative"
"280",NA,"appall","negative"
"281",NA,"appalled","negative"
"282",NA,"appalling","negative"
"283",NA,"appallingly","negative"
"284",NA,"appeal","positive"
"285",NA,"appealing","positive"
"286",NA,"applaud","positive"
"287",NA,"appreciable","positive"
"288",NA,"appreciate","positive"
"289",NA,"appreciated","positive"
"290",NA,"appreciates","positive"
"291",NA,"appreciative","positive"
"292",NA,"appreciatively","positive"
"293",NA,"apprehension","negative"
"294",NA,"apprehensions","negative"
"295",NA,"apprehensive","negative"
"296",NA,"apprehensively","negative"
"297",NA,"appropriate","positive"
"298",NA,"approval","positive"
"299",NA,"approve","positive"
"300",NA,"arbitrary","negative"
"301",NA,"arcane","negative"
"302",NA,"archaic","negative"
"303",NA,"ardent","positive"
"304",NA,"ardently","positive"
"305",NA,"ardor","positive"
"306",NA,"arduous","negative"
"307",NA,"arduously","negative"
"308",NA,"argumentative","negative"
"309",NA,"arrogance","negative"
"310",NA,"arrogant","negative"
"311",NA,"arrogantly","negative"
"312",NA,"articulate","positive"
"313",NA,"ashamed","negative"
"314",NA,"asinine","negative"
"315",NA,"asininely","negative"
"316",NA,"asinininity","negative"
"317",NA,"askance","negative"
"318",NA,"asperse","negative"
"319",NA,"aspersion","negative"
"320",NA,"aspersions","negative"
"321",NA,"aspiration","positive"
"322",NA,"aspirations","positive"
"323",NA,"aspire","positive"
"324",NA,"assail","negative"
"325",NA,"assassin","negative"
"326",NA,"assassinate","negative"
"327",NA,"assault","negative"
"328",NA,"assult","negative"
"329",NA,"assurance","positive"
"330",NA,"assurances","positive"
"331",NA,"assure","positive"
"332",NA,"assuredly","positive"
"333",NA,"assuring","positive"
"334",NA,"astonish","positive"
"335",NA,"astonished","positive"
"336",NA,"astonishing","positive"
"337",NA,"astonishingly","positive"
"338",NA,"astonishment","positive"
"339",NA,"astound","positive"
"340",NA,"astounded","positive"
"341",NA,"astounding","positive"
"342",NA,"astoundingly","positive"
"343",NA,"astray","negative"
"344",NA,"astutely","positive"
"345",NA,"asunder","negative"
"346",NA,"atrocious","negative"
"347",NA,"atrocities","negative"
"348",NA,"atrocity","negative"
"349",NA,"atrophy","negative"
"350",NA,"attack","negative"
"351",NA,"attacks","negative"
"352",NA,"attentive","positive"
"353",NA,"attraction","positive"
"354",NA,"attractive","positive"
"355",NA,"attractively","positive"
"356",NA,"attune","positive"
"357",NA,"audacious","negative"
"358",NA,"audaciously","negative"
"359",NA,"audaciousness","negative"
"360",NA,"audacity","negative"
"361",NA,"audible","positive"
"362",NA,"audibly","positive"
"363",NA,"audiciously","negative"
"364",NA,"auspicious","positive"
"365",NA,"austere","negative"
"366",NA,"authentic","positive"
"367",NA,"authoritarian","negative"
"368",NA,"authoritative","positive"
"369",NA,"autocrat","negative"
"370",NA,"autocratic","negative"
"371",NA,"autonomous","positive"
"372",NA,"available","positive"
"373",NA,"avalanche","negative"
"374",NA,"avarice","negative"
"375",NA,"avaricious","negative"
"376",NA,"avariciously","negative"
"377",NA,"avenge","negative"
"378",NA,"aver","positive"
"379",NA,"averse","negative"
"380",NA,"aversion","negative"
"381",NA,"avid","positive"
"382",NA,"avidly","positive"
"383",NA,"award","positive"
"384",NA,"awarded","positive"
"385",NA,"awards","positive"
"386",NA,"awe","positive"
"387",NA,"awed","positive"
"388",NA,"aweful","negative"
"389",NA,"awesome","positive"
"390",NA,"awesomely","positive"
"391",NA,"awesomeness","positive"
"392",NA,"awestruck","positive"
"393","s1e6","awful","negative"
"394",NA,"awfully","negative"
"395",NA,"awfulness","negative"
"396",NA,"awkward","negative"
"397",NA,"awkwardness","negative"
"398",NA,"awsome","positive"
"399",NA,"ax","negative"
"400",NA,"babble","negative"
"401",NA,"back-logged","negative"
"402",NA,"back-wood","negative"
"403",NA,"back-woods","negative"
"404",NA,"backache","negative"
"405",NA,"backaches","negative"
"406",NA,"backaching","negative"
"407",NA,"backbite","negative"
"408",NA,"backbiting","negative"
"409",NA,"backbone","positive"
"410",NA,"backward","negative"
"411",NA,"backwardness","negative"
"412",NA,"backwood","negative"
"413",NA,"backwoods","negative"
"414",NA,"bad","negative"
"415",NA,"badly","negative"
"416",NA,"baffle","negative"
"417",NA,"baffled","negative"
"418",NA,"bafflement","negative"
"419",NA,"baffling","negative"
"420",NA,"bait","negative"
"421",NA,"balanced","positive"
"422",NA,"balk","negative"
"423",NA,"banal","negative"
"424",NA,"banalize","negative"
"425",NA,"bane","negative"
"426",NA,"banish","negative"
"427",NA,"banishment","negative"
"428",NA,"bankrupt","negative"
"429",NA,"barbarian","negative"
"430",NA,"barbaric","negative"
"431",NA,"barbarically","negative"
"432",NA,"barbarity","negative"
"433",NA,"barbarous","negative"
"434",NA,"barbarously","negative"
"435",NA,"bargain","positive"
"436",NA,"barren","negative"
"437",NA,"baseless","negative"
"438",NA,"bash","negative"
"439",NA,"bashed","negative"
"440",NA,"bashful","negative"
"441",NA,"bashing","negative"
"442",NA,"bastard","negative"
"443",NA,"bastards","negative"
"444",NA,"battered","negative"
"445",NA,"battering","negative"
"446",NA,"batty","negative"
"447",NA,"bearish","negative"
"448",NA,"beastly","negative"
"449",NA,"beauteous","positive"
"450",NA,"beautiful","positive"
"451",NA,"beautifullly","positive"
"452",NA,"beautifully","positive"
"453",NA,"beautify","positive"
"454",NA,"beauty","positive"
"455",NA,"beckon","positive"
"456",NA,"beckoned","positive"
"457",NA,"beckoning","positive"
"458",NA,"beckons","positive"
"459",NA,"bedlam","negative"
"460",NA,"bedlamite","negative"
"461",NA,"befoul","negative"
"462",NA,"beg","negative"
"463",NA,"beggar","negative"
"464",NA,"beggarly","negative"
"465",NA,"begging","negative"
"466",NA,"beguile","negative"
"467",NA,"belabor","negative"
"468",NA,"belated","negative"
"469",NA,"beleaguer","negative"
"470",NA,"belie","negative"
"471",NA,"believable","positive"
"472",NA,"believeable","positive"
"473",NA,"belittle","negative"
"474",NA,"belittled","negative"
"475",NA,"belittling","negative"
"476",NA,"bellicose","negative"
"477",NA,"belligerence","negative"
"478",NA,"belligerent","negative"
"479",NA,"belligerently","negative"
"480",NA,"beloved","positive"
"481",NA,"bemoan","negative"
"482",NA,"bemoaning","negative"
"483",NA,"bemused","negative"
"484",NA,"benefactor","positive"
"485",NA,"beneficent","positive"
"486",NA,"beneficial","positive"
"487",NA,"beneficially","positive"
"488",NA,"beneficiary","positive"
"489",NA,"benefit","positive"
"490",NA,"benefits","positive"
"491",NA,"benevolence","positive"
"492",NA,"benevolent","positive"
"493",NA,"benifits","positive"
"494",NA,"bent","negative"
"495",NA,"berate","negative"
"496",NA,"bereave","negative"
"497",NA,"bereavement","negative"
"498",NA,"bereft","negative"
"499",NA,"berserk","negative"
"500",NA,"beseech","negative"
"501",NA,"beset","negative"
"502",NA,"besiege","negative"
"503",NA,"besmirch","negative"
"504","s1e5","best","positive"
"505",NA,"best-known","positive"
"506",NA,"best-performing","positive"
"507",NA,"best-selling","positive"
"508",NA,"bestial","negative"
"509",NA,"betray","negative"
"510",NA,"betrayal","negative"
"511",NA,"betrayals","negative"
"512",NA,"betrayer","negative"
"513",NA,"betraying","negative"
"514",NA,"betrays","negative"
"515",NA,"better","positive"
"516",NA,"better-known","positive"
"517",NA,"better-than-expected","positive"
"518",NA,"beutifully","positive"
"519",NA,"bewail","negative"
"520",NA,"beware","negative"
"521",NA,"bewilder","negative"
"522",NA,"bewildered","negative"
"523",NA,"bewildering","negative"
"524",NA,"bewilderingly","negative"
"525",NA,"bewilderment","negative"
"526",NA,"bewitch","negative"
"527",NA,"bias","negative"
"528",NA,"biased","negative"
"529",NA,"biases","negative"
"530",NA,"bicker","negative"
"531",NA,"bickering","negative"
"532",NA,"bid-rigging","negative"
"533",NA,"bigotries","negative"
"534",NA,"bigotry","negative"
"535",NA,"bitch","negative"
"536",NA,"bitchy","negative"
"537",NA,"biting","negative"
"538",NA,"bitingly","negative"
"539",NA,"bitter","negative"
"540",NA,"bitterly","negative"
"541",NA,"bitterness","negative"
"542",NA,"bizarre","negative"
"543",NA,"blab","negative"
"544",NA,"blabber","negative"
"545",NA,"blackmail","negative"
"546",NA,"blah","negative"
"547",NA,"blame","negative"
"548",NA,"blameless","positive"
"549",NA,"blameworthy","negative"
"550",NA,"bland","negative"
"551",NA,"blandish","negative"
"552",NA,"blaspheme","negative"
"553",NA,"blasphemous","negative"
"554",NA,"blasphemy","negative"
"555",NA,"blasted","negative"
"556",NA,"blatant","negative"
"557",NA,"blatantly","negative"
"558",NA,"blather","negative"
"559",NA,"bleak","negative"
"560",NA,"bleakly","negative"
"561",NA,"bleakness","negative"
"562",NA,"bleed","negative"
"563",NA,"bleeding","negative"
"564",NA,"bleeds","negative"
"565",NA,"blemish","negative"
"566",NA,"bless","positive"
"567",NA,"blessing","positive"
"568",NA,"blind","negative"
"569",NA,"blinding","negative"
"570",NA,"blindingly","negative"
"571",NA,"blindside","negative"
"572",NA,"bliss","positive"
"573",NA,"blissful","positive"
"574",NA,"blissfully","positive"
"575",NA,"blister","negative"
"576",NA,"blistering","negative"
"577",NA,"blithe","positive"
"578",NA,"bloated","negative"
"579",NA,"blockage","negative"
"580",NA,"blockbuster","positive"
"581",NA,"blockhead","negative"
"582",NA,"bloodshed","negative"
"583",NA,"bloodthirsty","negative"
"584",NA,"bloody","negative"
"585",NA,"bloom","positive"
"586",NA,"blossom","positive"
"587",NA,"blotchy","negative"
"588",NA,"blow","negative"
"589",NA,"blunder","negative"
"590",NA,"blundering","negative"
"591",NA,"blunders","negative"
"592",NA,"blunt","negative"
"593",NA,"blur","negative"
"594",NA,"bluring","negative"
"595",NA,"blurred","negative"
"596",NA,"blurring","negative"
"597",NA,"blurry","negative"
"598",NA,"blurs","negative"
"599",NA,"blurt","negative"
"600",NA,"boastful","negative"
"601",NA,"boggle","negative"
"602",NA,"bogus","negative"
"603",NA,"boil","negative"
"604",NA,"boiling","negative"
"605",NA,"boisterous","negative"
"606",NA,"bolster","positive"
"607",NA,"bomb","negative"
"608",NA,"bombard","negative"
"609",NA,"bombardment","negative"
"610",NA,"bombastic","negative"
"611",NA,"bondage","negative"
"612",NA,"bonkers","negative"
"613",NA,"bonny","positive"
"614",NA,"bonus","positive"
"615",NA,"bonuses","positive"
"616",NA,"boom","positive"
"617",NA,"booming","positive"
"618",NA,"boost","positive"
"619",NA,"bore","negative"
"620",NA,"bored","negative"
"621",NA,"boredom","negative"
"622",NA,"bores","negative"
"623",NA,"boring","negative"
"624",NA,"botch","negative"
"625",NA,"bother","negative"
"626",NA,"bothered","negative"
"627",NA,"bothering","negative"
"628",NA,"bothers","negative"
"629",NA,"bothersome","negative"
"630",NA,"boundless","positive"
"631",NA,"bountiful","positive"
"632",NA,"bowdlerize","negative"
"633",NA,"boycott","negative"
"634",NA,"braggart","negative"
"635",NA,"bragger","negative"
"636",NA,"brainiest","positive"
"637",NA,"brainless","negative"
"638",NA,"brainwash","negative"
"639",NA,"brainy","positive"
"640",NA,"brand-new","positive"
"641",NA,"brash","negative"
"642",NA,"brashly","negative"
"643",NA,"brashness","negative"
"644",NA,"brat","negative"
"645",NA,"bravado","negative"
"646",NA,"brave","positive"
"647",NA,"bravery","positive"
"648",NA,"bravo","positive"
"649",NA,"brazen","negative"
"650",NA,"brazenly","negative"
"651",NA,"brazenness","negative"
"652",NA,"breach","negative"
"653",NA,"break","negative"
"654",NA,"break-up","negative"
"655",NA,"break-ups","negative"
"656",NA,"breakdown","negative"
"657",NA,"breaking","negative"
"658",NA,"breaks","negative"
"659",NA,"breakthrough","positive"
"660",NA,"breakthroughs","positive"
"661",NA,"breakup","negative"
"662",NA,"breakups","negative"
"663",NA,"breathlessness","positive"
"664",NA,"breathtaking","positive"
"665",NA,"breathtakingly","positive"
"666",NA,"breeze","positive"
"667",NA,"bribery","negative"
"668",NA,"bright","positive"
"669",NA,"brighten","positive"
"670",NA,"brighter","positive"
"671",NA,"brightest","positive"
"672",NA,"brilliance","positive"
"673",NA,"brilliances","positive"
"674",NA,"brilliant","positive"
"675",NA,"brilliantly","positive"
"676",NA,"brimstone","negative"
"677",NA,"brisk","positive"
"678",NA,"bristle","negative"
"679",NA,"brittle","negative"
"680",NA,"broke","negative"
"681",NA,"broken","negative"
"682",NA,"broken-hearted","negative"
"683",NA,"brood","negative"
"684",NA,"brotherly","positive"
"685",NA,"browbeat","negative"
"686",NA,"bruise","negative"
"687",NA,"bruised","negative"
"688",NA,"bruises","negative"
"689",NA,"bruising","negative"
"690",NA,"brusque","negative"
"691",NA,"brutal","negative"
"692",NA,"brutalising","negative"
"693",NA,"brutalities","negative"
"694",NA,"brutality","negative"
"695",NA,"brutalize","negative"
"696",NA,"brutalizing","negative"
"697",NA,"brutally","negative"
"698",NA,"brute","negative"
"699",NA,"brutish","negative"
"700",NA,"bs","negative"
"701",NA,"buckle","negative"
"702",NA,"bug","negative"
"703",NA,"bugging","negative"
"704",NA,"buggy","negative"
"705",NA,"bugs","negative"
"706",NA,"bulkier","negative"
"707",NA,"bulkiness","negative"
"708",NA,"bulky","negative"
"709",NA,"bulkyness","negative"
"710",NA,"bull----","negative"
"711",NA,"bull****","negative"
"712",NA,"bullies","negative"
"713",NA,"bullish","positive"
"714",NA,"bullshit","negative"
"715",NA,"bullshyt","negative"
"716",NA,"bully","negative"
"717",NA,"bullying","negative"
"718",NA,"bullyingly","negative"
"719",NA,"bum","negative"
"720",NA,"bump","negative"
"721",NA,"bumped","negative"
"722",NA,"bumping","negative"
"723",NA,"bumpping","negative"
"724",NA,"bumps","negative"
"725",NA,"bumpy","negative"
"726",NA,"bungle","negative"
"727",NA,"bungler","negative"
"728",NA,"bungling","negative"
"729",NA,"bunk","negative"
"730",NA,"buoyant","positive"
"731",NA,"burden","negative"
"732",NA,"burdensome","negative"
"733",NA,"burdensomely","negative"
"734",NA,"burn","negative"
"735",NA,"burned","negative"
"736",NA,"burning","negative"
"737",NA,"burns","negative"
"738",NA,"bust","negative"
"739",NA,"busts","negative"
"740",NA,"busybody","negative"
"741",NA,"butcher","negative"
"742",NA,"butchery","negative"
"743",NA,"buzzing","negative"
"744",NA,"byzantine","negative"
"745",NA,"cackle","negative"
"746",NA,"cajole","positive"
"747",NA,"calamities","negative"
"748",NA,"calamitous","negative"
"749",NA,"calamitously","negative"
"750",NA,"calamity","negative"
"751",NA,"callous","negative"
"752",NA,"calm","positive"
"753",NA,"calming","positive"
"754",NA,"calmness","positive"
"755",NA,"calumniate","negative"
"756",NA,"calumniation","negative"
"757",NA,"calumnies","negative"
"758",NA,"calumnious","negative"
"759",NA,"calumniously","negative"
"760",NA,"calumny","negative"
"761",NA,"cancer","negative"
"762",NA,"cancerous","negative"
"763",NA,"cannibal","negative"
"764",NA,"cannibalize","negative"
"765",NA,"capability","positive"
"766",NA,"capable","positive"
"767",NA,"capably","positive"
"768",NA,"capitulate","negative"
"769",NA,"capricious","negative"
"770",NA,"capriciously","negative"
"771",NA,"capriciousness","negative"
"772",NA,"capsize","negative"
"773",NA,"captivate","positive"
"774",NA,"captivating","positive"
"775",NA,"carefree","positive"
"776",NA,"careless","negative"
"777",NA,"carelessness","negative"
"778",NA,"caricature","negative"
"779",NA,"carnage","negative"
"780",NA,"carp","negative"
"781",NA,"cartoonish","negative"
"782",NA,"cash-strapped","negative"
"783",NA,"cashback","positive"
"784",NA,"cashbacks","positive"
"785",NA,"castigate","negative"
"786",NA,"castrated","negative"
"787",NA,"casualty","negative"
"788",NA,"cataclysm","negative"
"789",NA,"cataclysmal","negative"
"790",NA,"cataclysmic","negative"
"791",NA,"cataclysmically","negative"
"792",NA,"catastrophe","negative"
"793",NA,"catastrophes","negative"
"794",NA,"catastrophic","negative"
"795",NA,"catastrophically","negative"
"796",NA,"catastrophies","negative"
"797",NA,"catchy","positive"
"798",NA,"caustic","negative"
"799",NA,"caustically","negative"
"800",NA,"cautionary","negative"
"801",NA,"cave","negative"
"802",NA,"celebrate","positive"
"803",NA,"celebrated","positive"
"804",NA,"celebration","positive"
"805",NA,"celebratory","positive"
"806",NA,"censure","negative"
"807",NA,"chafe","negative"
"808",NA,"chaff","negative"
"809",NA,"chagrin","negative"
"810",NA,"challenging","negative"
"811",NA,"champ","positive"
"812",NA,"champion","positive"
"813",NA,"chaos","negative"
"814",NA,"chaotic","negative"
"815",NA,"charisma","positive"
"816",NA,"charismatic","positive"
"817",NA,"charitable","positive"
"818",NA,"charm","positive"
"819",NA,"charming","positive"
"820",NA,"charmingly","positive"
"821",NA,"chaste","positive"
"822",NA,"chasten","negative"
"823",NA,"chastise","negative"
"824",NA,"chastisement","negative"
"825",NA,"chatter","negative"
"826",NA,"chatterbox","negative"
"827",NA,"cheap","negative"
"828",NA,"cheapen","negative"
"829",NA,"cheaper","positive"
"830",NA,"cheapest","positive"
"831",NA,"cheaply","negative"
"832",NA,"cheat","negative"
"833",NA,"cheated","negative"
"834",NA,"cheater","negative"
"835",NA,"cheating","negative"
"836",NA,"cheats","negative"
"837",NA,"checkered","negative"
"838",NA,"cheer","positive"
"839",NA,"cheerful","positive"
"840",NA,"cheerless","negative"
"841",NA,"cheery","positive"
"842",NA,"cheesy","negative"
"843",NA,"cherish","positive"
"844",NA,"cherished","positive"
"845",NA,"cherub","positive"
"846",NA,"chic","positive"
"847",NA,"chide","negative"
"848",NA,"childish","negative"
"849",NA,"chill","negative"
"850",NA,"chilly","negative"
"851",NA,"chintzy","negative"
"852",NA,"chivalrous","positive"
"853",NA,"chivalry","positive"
"854",NA,"choke","negative"
"855",NA,"choleric","negative"
"856",NA,"choppy","negative"
"857",NA,"chore","negative"
"858",NA,"chronic","negative"
"859",NA,"chunky","negative"
"860",NA,"civility","positive"
"861",NA,"civilize","positive"
"862",NA,"clamor","negative"
"863",NA,"clamorous","negative"
"864",NA,"clarity","positive"
"865",NA,"clash","negative"
"866",NA,"classic","positive"
"867",NA,"classy","positive"
"868","s1e2","clean","positive"
"869",NA,"cleaner","positive"
"870",NA,"cleanest","positive"
"871",NA,"cleanliness","positive"
"872",NA,"cleanly","positive"
"873","s1e7","clear","positive"
"874",NA,"clear-cut","positive"
"875",NA,"cleared","positive"
"876",NA,"clearer","positive"
"877",NA,"clearly","positive"
"878",NA,"clears","positive"
"879",NA,"clever","positive"
"880",NA,"cleverly","positive"
"881",NA,"cliche","negative"
"882",NA,"cliched","negative"
"883",NA,"clique","negative"
"884",NA,"clog","negative"
"885",NA,"clogged","negative"
"886",NA,"clogs","negative"
"887",NA,"cloud","negative"
"888",NA,"clouding","negative"
"889",NA,"cloudy","negative"
"890",NA,"clueless","negative"
"891",NA,"clumsy","negative"
"892",NA,"clunky","negative"
"893",NA,"coarse","negative"
"894",NA,"cocky","negative"
"895",NA,"coerce","negative"
"896",NA,"coercion","negative"
"897",NA,"coercive","negative"
"898",NA,"cohere","positive"
"899",NA,"coherence","positive"
"900",NA,"coherent","positive"
"901",NA,"cohesive","positive"
"902",NA,"cold","negative"
"903",NA,"coldly","negative"
"904",NA,"collapse","negative"
"905",NA,"collude","negative"
"906",NA,"collusion","negative"
"907",NA,"colorful","positive"
"908",NA,"combative","negative"
"909",NA,"combust","negative"
"910",NA,"comely","positive"
"911",NA,"comfort","positive"
"912",NA,"comfortable","positive"
