"","Episode","word","value"
"98",NA,"agreed",1
"99",NA,"agreement",1
"100",NA,"agrees",1
"101",NA,"alarm",-2
"102",NA,"alarmed",-2
"103",NA,"alarmist",-2
"104",NA,"alarmists",-2
"105",NA,"alas",-1
"106",NA,"alert",-1
"107",NA,"alienation",-2
"108",NA,"alive",1
"109",NA,"allergic",-2
"110",NA,"allow",1
"111",NA,"alone",-2
"112",NA,"amaze",2
"113",NA,"amazed",2
"114",NA,"amazes",2
"115",NA,"amazing",4
"116",NA,"ambitious",2
"117",NA,"ambivalent",-1
"118",NA,"amuse",3
"119",NA,"amused",3
"120",NA,"amusement",3
"121",NA,"amusements",3
"122",NA,"anger",-3
"123",NA,"angers",-3
"124",NA,"angry",-3
"125",NA,"anguish",-3
"126",NA,"anguished",-3
"127",NA,"animosity",-2
"128",NA,"annoy",-2
"129",NA,"annoyance",-2
"130",NA,"annoyed",-2
"131",NA,"annoying",-2
"132",NA,"annoys",-2
"133",NA,"antagonistic",-2
"134",NA,"anti",-1
"135",NA,"anticipation",1
"136",NA,"anxiety",-2
"137",NA,"anxious",-2
"138",NA,"apathetic",-3
"139",NA,"apathy",-3
"140",NA,"apeshit",-3
"141",NA,"apocalyptic",-2
"142",NA,"apologise",-1
"143",NA,"apologised",-1
"144",NA,"apologises",-1
"145",NA,"apologising",-1
"146",NA,"apologize",-1
"147",NA,"apologized",-1
"148",NA,"apologizes",-1
"149",NA,"apologizing",-1
"150",NA,"apology",-1
"151",NA,"appalled",-2
"152",NA,"appalling",-2
"153",NA,"appease",2
"154",NA,"appeased",2
"155",NA,"appeases",2
"156",NA,"appeasing",2
"157",NA,"applaud",2
"158",NA,"applauded",2
"159",NA,"applauding",2
"160",NA,"applauds",2
"161",NA,"applause",2
"162",NA,"appreciate",2
"163",NA,"appreciated",2
"164",NA,"appreciates",2
"165",NA,"appreciating",2
"166",NA,"appreciation",2
"167",NA,"apprehensive",-2
"168",NA,"approval",2
"169",NA,"approved",2
"170",NA,"approves",2
"171",NA,"ardent",1
"172",NA,"arrest",-2
"173",NA,"arrested",-3
"174",NA,"arrests",-2
"175",NA,"arrogant",-2
"176",NA,"ashame",-2
"177",NA,"ashamed",-2
"178",NA,"ass",-4
"179",NA,"assassination",-3
"180",NA,"assassinations",-3
"181",NA,"asset",2
"182",NA,"assets",2
"183",NA,"assfucking",-4
"184",NA,"asshole",-4
"185",NA,"astonished",2
"186",NA,"astound",3
"187",NA,"astounded",3
"188",NA,"astounding",3
"189",NA,"astoundingly",3
"190",NA,"astounds",3
"191",NA,"attack",-1
"192",NA,"attacked",-1
"193",NA,"attacking",-1
"194",NA,"attacks",-1
"195",NA,"attract",1
"196",NA,"attracted",1
"197",NA,"attracting",2
"198",NA,"attraction",2
"199",NA,"attractions",2
"200",NA,"attracts",1
"201",NA,"audacious",3
"202",NA,"authority",1
"203",NA,"avert",-1
"204",NA,"averted",-1
"205",NA,"averts",-1
"206",NA,"avid",2
"207",NA,"avoid",-1
"208",NA,"avoided",-1
"209",NA,"avoids",-1
"210",NA,"await",-1
"211",NA,"awaited",-1
"212",NA,"awaits",-1
"213",NA,"award",3
"214",NA,"awarded",3
"215",NA,"awards",3
"216",NA,"awesome",4
"217","s1e6","awful",-3
"218",NA,"awkward",-2
"219",NA,"axe",-1
"220",NA,"axed",-1
"221",NA,"backed",1
"222",NA,"backing",2
"223",NA,"backs",1
"224",NA,"bad",-3
"225",NA,"badass",-3
"226",NA,"badly",-3
"227",NA,"bailout",-2
"228",NA,"bamboozle",-2
"229",NA,"bamboozled",-2
"230",NA,"bamboozles",-2
"231",NA,"ban",-2
"232",NA,"banish",-1
"233",NA,"bankrupt",-3
"234",NA,"bankster",-3
"235",NA,"banned",-2
"236",NA,"bargain",2
"237",NA,"barrier",-2
"238",NA,"bastard",-5
"239",NA,"bastards",-5
"240",NA,"battle",-1
"241",NA,"battles",-1
"242",NA,"beaten",-2
"243",NA,"beatific",3
"244",NA,"beating",-1
"245",NA,"beauties",3
"246",NA,"beautiful",3
"247",NA,"beautifully",3
"248",NA,"beautify",3
"249",NA,"belittle",-2
"250",NA,"belittled",-2
"251",NA,"beloved",3
"252",NA,"benefit",2
"253",NA,"benefits",2
"254",NA,"benefitted",2
"255",NA,"benefitting",2
"256",NA,"bereave",-2
"257",NA,"bereaved",-2
"258",NA,"bereaves",-2
"259",NA,"bereaving",-2
"260","s1e5","best",3
"261",NA,"betray",-3
"262",NA,"betrayal",-3
"263",NA,"betrayed",-3
"264",NA,"betraying",-3
"265",NA,"betrays",-3
"266",NA,"better",2
"267",NA,"bias",-1
"268",NA,"biased",-2
"269",NA,"big",1
"270",NA,"bitch",-5
"271",NA,"bitches",-5
"272",NA,"bitter",-2
"273",NA,"bitterly",-2
"274",NA,"bizarre",-2
"275",NA,"blah",-2
"276",NA,"blame",-2
"277",NA,"blamed",-2
"278",NA,"blames",-2
"279",NA,"blaming",-2
"280",NA,"bless",2
"281",NA,"blesses",2
"282",NA,"blessing",3
"283",NA,"blind",-1
"284",NA,"bliss",3
"285",NA,"blissful",3
"286",NA,"blithe",2
"287",NA,"block",-1
"288",NA,"blockbuster",3
"289",NA,"blocked",-1
"290",NA,"blocking",-1
"291",NA,"blocks",-1
"292",NA,"bloody",-3
"293",NA,"blurry",-2
"294",NA,"boastful",-2
"295",NA,"bold",2
"296",NA,"boldly",2
"297",NA,"bomb",-1
"298",NA,"boost",1
"299",NA,"boosted",1
"300",NA,"boosting",1
"301",NA,"boosts",1
"302",NA,"bore",-2
"303",NA,"bored",-2
"304",NA,"boring",-3
"305",NA,"bother",-2
"306",NA,"bothered",-2
"307",NA,"bothers",-2
"308",NA,"bothersome",-2
"309",NA,"boycott",-2
"310",NA,"boycotted",-2
"311",NA,"boycotting",-2
"312",NA,"boycotts",-2
"313",NA,"brainwashing",-3
"314",NA,"brave",2
"315",NA,"breakthrough",3
"316",NA,"breathtaking",5
"317",NA,"bribe",-3
"318",NA,"bright",1
"319",NA,"brightest",2
"320",NA,"brightness",1
"321",NA,"brilliant",4
"322",NA,"brisk",2
"323",NA,"broke",-1
"324",NA,"broken",-1
"325",NA,"brooding",-2
"326",NA,"bullied",-2
"327",NA,"bullshit",-4
"328",NA,"bully",-2
"329",NA,"bullying",-2
"330",NA,"bummer",-2
"331",NA,"buoyant",2
"332",NA,"burden",-2
"333",NA,"burdened",-2
"334",NA,"burdening",-2
"335",NA,"burdens",-2
"336",NA,"calm",2
"337",NA,"calmed",2
"338",NA,"calming",2
"339",NA,"calms",2
"340",NA,"can't stand",-3
"341",NA,"cancel",-1
"342",NA,"cancelled",-1
"343",NA,"cancelling",-1
"344",NA,"cancels",-1
"345",NA,"cancer",-1
"346",NA,"capable",1
"347",NA,"captivated",3
"348","s1e4","care",2
"349",NA,"carefree",1
"350",NA,"careful",2
"351",NA,"carefully",2
"352",NA,"careless",-2
"353",NA,"cares",2
"354",NA,"cashing in",-2
"355",NA,"casualty",-2
"356",NA,"catastrophe",-3
"357",NA,"catastrophic",-4
"358",NA,"cautious",-1
"359",NA,"celebrate",3
"360",NA,"celebrated",3
"361",NA,"celebrates",3
"362",NA,"celebrating",3
"363",NA,"censor",-2
"364",NA,"censored",-2
"365",NA,"censors",-2
"366",NA,"certain",1
"367",NA,"chagrin",-2
"368",NA,"chagrined",-2
"369",NA,"challenge",-1
"370","s1e7","chance",2
"371",NA,"chances",2
"372",NA,"chaos",-2
"373",NA,"chaotic",-2
"374",NA,"charged",-3
"375",NA,"charges",-2
"376",NA,"charm",3
"377",NA,"charming",3
"378",NA,"charmless",-3
"379",NA,"chastise",-3
"380",NA,"chastised",-3
"381",NA,"chastises",-3
"382",NA,"chastising",-3
"383",NA,"cheat",-3
"384",NA,"cheated",-3
"385",NA,"cheater",-3
"386",NA,"cheaters",-3
"387",NA,"cheats",-3
"388",NA,"cheer",2
"389",NA,"cheered",2
"390",NA,"cheerful",2
"391",NA,"cheering",2
"392",NA,"cheerless",-2
"393",NA,"cheers",2
"394",NA,"cheery",3
"395",NA,"cherish",2
"396",NA,"cherished",2
"397",NA,"cherishes",2
"398",NA,"cherishing",2
"399",NA,"chic",2
"400",NA,"childish",-2
"401",NA,"chilling",-1
"402",NA,"choke",-2
"403",NA,"choked",-2
"404",NA,"chokes",-2
"405",NA,"choking",-2
"406",NA,"clarifies",2
"407",NA,"clarity",2
"408",NA,"clash",-2
"409",NA,"classy",3
"410","s1e2","clean",2
"411",NA,"cleaner",2
"412","s1e7","clear",1
"413",NA,"cleared",1
"414",NA,"clearly",1
"415",NA,"clears",1
"416",NA,"clever",2
"417",NA,"clouded",-1
"418",NA,"clueless",-2
"419",NA,"cock",-5
"420",NA,"cocksucker",-5
"421",NA,"cocksuckers",-5
"422",NA,"cocky",-2
"423",NA,"coerced",-2
"424",NA,"collapse",-2
"425",NA,"collapsed",-2
"426",NA,"collapses",-2
"427",NA,"collapsing",-2
"428",NA,"collide",-1
"429",NA,"collides",-1
"430",NA,"colliding",-1
"431",NA,"collision",-2
"432",NA,"collisions",-2
"433",NA,"colluding",-3
"434",NA,"combat",-1
"435",NA,"combats",-1
"436",NA,"comedy",1
"437",NA,"comfort",2
"438",NA,"comfortable",2
"439",NA,"comforting",2
"440",NA,"comforts",2
"441",NA,"commend",2
"442",NA,"commended",2
"443",NA,"commit",1
"444",NA,"commitment",2
"445",NA,"commits",1
"446",NA,"committed",1
"447",NA,"committing",1
"448",NA,"compassionate",2
"449",NA,"compelled",1
"450",NA,"competent",2
"451",NA,"competitive",2
"452",NA,"complacent",-2
"453",NA,"complain",-2
"454",NA,"complained",-2
"455",NA,"complains",-2
"456",NA,"comprehensive",2
"457",NA,"conciliate",2
"458",NA,"conciliated",2
"459",NA,"conciliates",2
"460",NA,"conciliating",2
"461",NA,"condemn",-2
"462",NA,"condemnation",-2
"463",NA,"condemned",-2
"464",NA,"condemns",-2
"465",NA,"confidence",2
"466",NA,"confident",2
"467",NA,"conflict",-2
"468",NA,"conflicting",-2
"469",NA,"conflictive",-2
"470",NA,"conflicts",-2
"471",NA,"confuse",-2
"472",NA,"confused",-2
"473",NA,"confusing",-2
"474",NA,"congrats",2
"475",NA,"congratulate",2
"476",NA,"congratulation",2
"477",NA,"congratulations",2
"478",NA,"consent",2
"479",NA,"consents",2
"480",NA,"consolable",2
"481",NA,"conspiracy",-3
"482",NA,"constrained",-2
"483",NA,"contagion",-2
"484",NA,"contagions",-2
"485",NA,"contagious",-1
"486",NA,"contempt",-2
"487",NA,"contemptuous",-2
"488",NA,"contemptuously",-2
"489",NA,"contend",-1
"490",NA,"contender",-1
"491",NA,"contending",-1
"492",NA,"contentious",-2
"493",NA,"contestable",-2
"494",NA,"controversial",-2
"495",NA,"controversially",-2
"496",NA,"convince",1
"497",NA,"convinced",1
"498",NA,"convinces",1
"499",NA,"convivial",2
"500",NA,"cool",1
"501",NA,"cool stuff",3
"502",NA,"cornered",-2
"503",NA,"corpse",-1
"504",NA,"costly",-2
"505",NA,"courage",2
"506",NA,"courageous",2
"507","s1e6","courteous",2
"508",NA,"courtesy",2
"509",NA,"cover-up",-3
"510",NA,"coward",-2
"511",NA,"cowardly",-2
"512",NA,"coziness",2
"513",NA,"cramp",-1
"514",NA,"crap",-3
"515",NA,"crash",-2
"516",NA,"crazier",-2
"517",NA,"craziest",-2
"518",NA,"crazy",-2
"519",NA,"creative",2
"520",NA,"crestfallen",-2
"521",NA,"cried",-2
"522",NA,"cries",-2
"523",NA,"crime",-3
"524",NA,"criminal",-3
"525",NA,"criminals",-3
"526",NA,"crisis",-3
"527",NA,"critic",-2
"528",NA,"criticism",-2
"529",NA,"criticize",-2
"530",NA,"criticized",-2
"531",NA,"criticizes",-2
"532",NA,"criticizing",-2
"533",NA,"critics",-2
"534",NA,"cruel",-3
"535",NA,"cruelty",-3
"536",NA,"crush",-1
"537",NA,"crushed",-2
"538",NA,"crushes",-1
"539",NA,"crushing",-1
"540",NA,"cry",-1
"541",NA,"crying",-2
"542",NA,"cunt",-5
"543",NA,"curious",1
"544",NA,"curse",-1
"545",NA,"cut",-1
"546",NA,"cute",2
"547",NA,"cuts",-1
"548",NA,"cutting",-1
"549",NA,"cynic",-2
"550",NA,"cynical",-2
"551",NA,"cynicism",-2
"552",NA,"damage",-3
"553",NA,"damages",-3
"554",NA,"damn",-4
"555",NA,"damned",-4
"556",NA,"damnit",-4
"557",NA,"danger",-2
"558",NA,"daredevil",2
"559",NA,"daring",2
"560",NA,"darkest",-2
"561",NA,"darkness",-1
"562",NA,"dauntless",2
"563",NA,"dead",-3
"564",NA,"deadlock",-2
"565",NA,"deafening",-1
"566","s1e1","dear",2
"567",NA,"dearly",3
"568",NA,"death",-2
"569",NA,"debonair",2
"570",NA,"debt",-2
"571",NA,"deceit",-3
"572",NA,"deceitful",-3
"573",NA,"deceive",-3
"574",NA,"deceived",-3
"575",NA,"deceives",-3
"576",NA,"deceiving",-3
"577",NA,"deception",-3
"578",NA,"decisive",1
"579",NA,"dedicated",2
"580",NA,"defeated",-2
"581",NA,"defect",-3
"582",NA,"defects",-3
"583",NA,"defender",2
"584",NA,"defenders",2
"585",NA,"defenseless",-2
"586",NA,"defer",-1
"587",NA,"deferring",-1
"588",NA,"defiant",-1
"589",NA,"deficit",-2
"590",NA,"degrade",-2
"591",NA,"degraded",-2
"592",NA,"degrades",-2
"593",NA,"dehumanize",-2
"594",NA,"dehumanized",-2
"595",NA,"dehumanizes",-2
"596",NA,"dehumanizing",-2
"597",NA,"deject",-2
"598",NA,"dejected",-2
"599",NA,"dejecting",-2
"600",NA,"dejects",-2
"601",NA,"delay",-1
"602",NA,"delayed",-1
"603",NA,"delight",3
"604",NA,"delighted",3
"605",NA,"delighting",3
"606",NA,"delights",3
"607",NA,"demand",-1
"608",NA,"demanded",-1
"609",NA,"demanding",-1
"610",NA,"demands",-1
"611",NA,"demonstration",-1
"612",NA,"demoralized",-2
"613",NA,"denied",-2
"614",NA,"denier",-2
"615",NA,"deniers",-2
"616",NA,"denies",-2
"617",NA,"denounce",-2
"618",NA,"denounces",-2
"619",NA,"deny",-2
"620",NA,"denying",-2
"621",NA,"depressed",-2
"622",NA,"depressing",-2
"623",NA,"derail",-2
"624",NA,"derailed",-2
"625",NA,"derails",-2
"626",NA,"deride",-2
"627",NA,"derided",-2
"628",NA,"derides",-2
"629",NA,"deriding",-2
"630",NA,"derision",-2
"631",NA,"desirable",2
"632",NA,"desire",1
"633",NA,"desired",2
"634",NA,"desirous",2
"635",NA,"despair",-3
"636",NA,"despairing",-3
"637",NA,"despairs",-3
"638",NA,"desperate",-3
"639",NA,"desperately",-3
"640",NA,"despondent",-3
"641",NA,"destroy",-3
"642",NA,"destroyed",-3
"643",NA,"destroying",-3
"644",NA,"destroys",-3
"645",NA,"destruction",-3
"646",NA,"destructive",-3
"647",NA,"detached",-1
"648",NA,"detain",-2
"649",NA,"detained",-2
"650",NA,"detention",-2
"651",NA,"determined",2
"652",NA,"devastate",-2
"653",NA,"devastated",-2
"654",NA,"devastating",-2
"655",NA,"devoted",3
"656",NA,"diamond",1
"657",NA,"dick",-4
"658",NA,"dickhead",-4
"659",NA,"die",-3
"660",NA,"died",-3
"661",NA,"difficult",-1
"662",NA,"diffident",-2
"663",NA,"dilemma",-1
"664",NA,"dipshit",-3
"665",NA,"dire",-3
"666",NA,"direful",-3
"667",NA,"dirt",-2
"668",NA,"dirtier",-2
"669",NA,"dirtiest",-2
"670",NA,"dirty",-2
"671",NA,"disabling",-1
"672",NA,"disadvantage",-2
"673",NA,"disadvantaged",-2
"674",NA,"disappear",-1
"675",NA,"disappeared",-1
"676",NA,"disappears",-1
"677",NA,"disappoint",-2
"678",NA,"disappointed",-2
"679",NA,"disappointing",-2
"680",NA,"disappointment",-2
"681",NA,"disappointments",-2
"682",NA,"disappoints",-2
"683",NA,"disaster",-2
"684",NA,"disasters",-2
"685",NA,"disastrous",-3
"686",NA,"disbelieve",-2
"687",NA,"discard",-1
"688",NA,"discarded",-1
"689",NA,"discarding",-1
"690",NA,"discards",-1
"691",NA,"disconsolate",-2
"692",NA,"disconsolation",-2
"693",NA,"discontented",-2
"694",NA,"discord",-2
"695",NA,"discounted",-1
"696",NA,"discouraged",-2
"697",NA,"discredited",-2
"698",NA,"disdain",-2
"699",NA,"disgrace",-2
"700",NA,"disgraced",-2
"701",NA,"disguise",-1
"702",NA,"disguised",-1
"703",NA,"disguises",-1
"704",NA,"disguising",-1
"705",NA,"disgust",-3
"706",NA,"disgusted",-3
"707",NA,"disgusting",-3
"708",NA,"disheartened",-2
"709",NA,"dishonest",-2
"710",NA,"disillusioned",-2
"711",NA,"disinclined",-2
"712",NA,"disjointed",-2
"713",NA,"dislike",-2
"714",NA,"dismal",-2
"715",NA,"dismayed",-2
"716",NA,"disorder",-2
"717",NA,"disorganized",-2
"718",NA,"disoriented",-2
"719",NA,"disparage",-2
"720",NA,"disparaged",-2
"721",NA,"disparages",-2
"722",NA,"disparaging",-2
"723",NA,"displeased",-2
"724",NA,"dispute",-2
"725",NA,"disputed",-2
"726",NA,"disputes",-2
"727",NA,"disputing",-2
"728",NA,"disqualified",-2
"729",NA,"disquiet",-2
"730",NA,"disregard",-2
"731",NA,"disregarded",-2
"732",NA,"disregarding",-2
"733",NA,"disregards",-2
"734",NA,"disrespect",-2
"735",NA,"disrespected",-2
"736",NA,"disruption",-2
"737",NA,"disruptions",-2
"738",NA,"disruptive",-2
"739",NA,"dissatisfied",-2
"740",NA,"distort",-2
"741",NA,"distorted",-2
"742",NA,"distorting",-2
"743",NA,"distorts",-2
"744",NA,"distract",-2
"745",NA,"distracted",-2
"746",NA,"distraction",-2
"747",NA,"distracts",-2
"748",NA,"distress",-2
"749",NA,"distressed",-2
"750",NA,"distresses",-2
"751",NA,"distressing",-2
"752",NA,"distrust",-3
"753",NA,"distrustful",-3
"754",NA,"disturb",-2
"755",NA,"disturbed",-2
"756",NA,"disturbing",-2
"757",NA,"disturbs",-2
"758",NA,"dithering",-2
"759",NA,"dizzy",-1
"760",NA,"dodging",-2
"761",NA,"dodgy",-2
"762",NA,"does not work",-3
"763",NA,"dolorous",-2
"764",NA,"dont like",-2
"765",NA,"doom",-2
"766",NA,"doomed",-2
"767",NA,"doubt",-1
"768",NA,"doubted",-1
"769",NA,"doubtful",-1
"770",NA,"doubting",-1
"771",NA,"doubts",-1
"772",NA,"douche",-3
"773",NA,"douchebag",-3
"774",NA,"downcast",-2
"775",NA,"downhearted",-2
"776",NA,"downside",-2
"777",NA,"drag",-1
"778",NA,"dragged",-1
"779",NA,"drags",-1
"780",NA,"drained",-2
"781",NA,"dread",-2
"782",NA,"dreaded",-2
"783",NA,"dreadful",-3
"784",NA,"dreading",-2
"785",NA,"dream",1
"786",NA,"dreams",1
"787",NA,"dreary",-2
"788",NA,"droopy",-2
"789",NA,"drop",-1
"790",NA,"drown",-2
"791",NA,"drowned",-2
"792",NA,"drowns",-2
"793",NA,"drunk",-2
"794",NA,"dubious",-2
"795",NA,"dud",-2
"796",NA,"dull",-2
"797",NA,"dumb",-3
"798",NA,"dumbass",-3
"799",NA,"dump",-1
"800",NA,"dumped",-2
"801",NA,"dumps",-1
"802",NA,"dupe",-2
"803",NA,"duped",-2
"804",NA,"dysfunction",-2
"805",NA,"eager",2
"806",NA,"earnest",2
"807",NA,"ease",2
"808",NA,"easy",1
"809",NA,"ecstatic",4
"810",NA,"eerie",-2
"811",NA,"eery",-2
"812",NA,"effective",2
"813",NA,"effectively",2
"814",NA,"elated",3
"815",NA,"elation",3
"816",NA,"elegant",2
"817",NA,"elegantly",2
"818",NA,"embarrass",-2
"819",NA,"embarrassed",-2
"820",NA,"embarrasses",-2
"821",NA,"embarrassing",-2
"822",NA,"embarrassment",-2
"823",NA,"embittered",-2
"824",NA,"embrace",1
"825",NA,"emergency",-2
"826",NA,"empathetic",2
"827",NA,"emptiness",-1
"828",NA,"empty",-1
"829",NA,"enchanted",2
"830",NA,"encourage",2
"831",NA,"encouraged",2
"832",NA,"encouragement",2
"833",NA,"encourages",2
"834",NA,"endorse",2
"835",NA,"endorsed",2
"836",NA,"endorsement",2
"837",NA,"endorses",2
"838",NA,"enemies",-2
"839",NA,"enemy",-2
"840",NA,"energetic",2
"841",NA,"engage",1
"842",NA,"engages",1
"843",NA,"engrossed",1
"844",NA,"enjoy",2
"845",NA,"enjoying",2
"846",NA,"enjoys",2
"847",NA,"enlighten",2
"848",NA,"enlightened",2
"849",NA,"enlightening",2
"850",NA,"enlightens",2
"851",NA,"ennui",-2
"852",NA,"enrage",-2
"853",NA,"enraged",-2
"854",NA,"enrages",-2
"855",NA,"enraging",-2
"856",NA,"enrapture",3
"857",NA,"enslave",-2
"858",NA,"enslaved",-2
"859",NA,"enslaves",-2
"860",NA,"ensure",1
"861",NA,"ensuring",1
"862",NA,"enterprising",1
"863",NA,"entertaining",2
"864",NA,"enthral",3
"865",NA,"enthusiastic",3
"866",NA,"entitled",1
"867",NA,"entrusted",2
"868",NA,"envies",-1
"869",NA,"envious",-2
"870",NA,"envy",-1
"871",NA,"envying",-1
"872",NA,"erroneous",-2
"873",NA,"error",-2
"874",NA,"errors",-2
"875",NA,"escape",-1
"876",NA,"escapes",-1
"877",NA,"escaping",-1
"878",NA,"esteemed",2
"879",NA,"ethical",2
"880",NA,"euphoria",3
"881",NA,"euphoric",4
"882",NA,"eviction",-1
"883",NA,"evil",-3
"884",NA,"exaggerate",-2
"885",NA,"exaggerated",-2
"886",NA,"exaggerates",-2
"887",NA,"exaggerating",-2
"888",NA,"exasperated",2
"889",NA,"excellence",3
"890",NA,"excellent",3
"891",NA,"excite",3
"892",NA,"excited",3
"893",NA,"excitement",3
"894",NA,"exciting",3
"895",NA,"exclude",-1
"896",NA,"excluded",-2
"897",NA,"exclusion",-1
"898",NA,"exclusive",2
"899",NA,"excuse",-1
"900",NA,"exempt",-1
"901",NA,"exhausted",-2
"902",NA,"exhilarated",3
"903",NA,"exhilarates",3
"904",NA,"exhilarating",3
"905",NA,"exonerate",2
"906",NA,"exonerated",2
"907",NA,"exonerates",2
"908",NA,"exonerating",2
"909",NA,"expand",1
"910",NA,"expands",1
"911",NA,"expel",-2
"912",NA,"expelled",-2
"913",NA,"expelling",-2
"914",NA,"expels",-2
"915",NA,"exploit",-2
"916",NA,"exploited",-2
"917",NA,"exploiting",-2
"918",NA,"exploits",-2
"919",NA,"exploration",1
"920",NA,"explorations",1
"921",NA,"expose",-1
"922",NA,"exposed",-1
"923",NA,"exposes",-1
"924",NA,"exposing",-1
"925",NA,"extend",1
"926",NA,"extends",1
"927",NA,"exuberant",4
"928",NA,"exultant",3
"929",NA,"exultantly",3
"930",NA,"fabulous",4
"931",NA,"fad",-2
"932",NA,"fag",-3
"933",NA,"faggot",-3
"934",NA,"faggots",-3
"935",NA,"fail",-2
"936",NA,"failed",-2
"937",NA,"failing",-2
"938",NA,"fails",-2
"939",NA,"failure",-2
"940",NA,"failures",-2
"941",NA,"fainthearted",-2
"942",NA,"fair",2
"943",NA,"faith",1
"944",NA,"faithful",3
"945",NA,"fake",-3
"946",NA,"fakes",-3
"947",NA,"faking",-3
"948",NA,"fallen",-2
"949",NA,"falling",-1
"950",NA,"falsified",-3
"951",NA,"falsify",-3
"952",NA,"fame",1
"953",NA,"fan",3
"954",NA,"fantastic",4
"955",NA,"farce",-1
"956",NA,"fascinate",3
"957",NA,"fascinated",3
"958",NA,"fascinates",3
"959",NA,"fascinating",3
"960",NA,"fascist",-2
"961",NA,"fascists",-2
"962",NA,"fatalities",-3
"963",NA,"fatality",-3
"964",NA,"fatigue",-2
"965",NA,"fatigued",-2
"966",NA,"fatigues",-2
"967",NA,"fatiguing",-2
"968",NA,"favor",2
"969",NA,"favored",2
"970",NA,"favorite",2
"971",NA,"favorited",2
"972",NA,"favorites",2
"973",NA,"favors",2
"974",NA,"fear",-2
"975",NA,"fearful",-2
"976",NA,"fearing",-2
"977",NA,"fearless",2
"978",NA,"fearsome",-2
"979",NA,"fed up",-3
"980",NA,"feeble",-2
"981",NA,"feeling",1
"982",NA,"felonies",-3
"983",NA,"felony",-3
"984",NA,"fervent",2
"985",NA,"fervid",2
"986",NA,"festive",2
"987",NA,"fiasco",-3
"988",NA,"fidgety",-2
"989",NA,"fight",-1
"990","s1e7","fine",2
"991",NA,"fire",-2
"992",NA,"fired",-2
"993",NA,"firing",-2
"994",NA,"fit",1
"995",NA,"fitness",1
"996",NA,"flagship",2
"997",NA,"flees",-1
"998",NA,"flop",-2
"999",NA,"flops",-2
"1000",NA,"flu",-2
"1001",NA,"flustered",-2
"1002",NA,"focused",2
"1003",NA,"fond",2
"1004",NA,"fondness",2
"1005",NA,"fool",-2
"1006",NA,"foolish",-2
"1007",NA,"fools",-2
"1008",NA,"forced",-1
"1009",NA,"foreclosure",-2
"1010",NA,"foreclosures",-2
"1011",NA,"forget",-1
"1012",NA,"forgetful",-2
"1013",NA,"forgive",1
"1014",NA,"forgiving",1
"1015",NA,"forgotten",-1
"1016",NA,"fortunate",2
"1017",NA,"frantic",-1
"1018",NA,"fraud",-4
